,Date,Open,High,Low,Close
1524,2019-05-13,1.12352,1.12636,1.1217,1.12308
1525,2019-05-10,1.12187,1.12536,1.1216,1.12379
1526,2019-05-09,1.11974,1.1251,1.1172,1.12188
1527,2019-05-08,1.11927,1.12138,1.1181,1.11974
1528,2019-05-07,1.11983,1.12179,1.1165,1.11927
1529,2019-05-06,1.11939,1.12093,1.1177,1.1198
1530,2019-05-03,1.11745,1.1205,1.1134,1.11933
1531,2019-05-02,1.12032,1.12191,1.11679,1.11745
1532,2019-05-01,1.12111,1.12648,1.1186,1.12032
1533,2019-04-30,1.11841,1.12293,1.1174,1.12109
1534,2019-04-29,1.11505,1.11869,1.1143,1.1184
1535,2019-04-26,1.11372,1.1174,1.1109,1.1149
1536,2019-04-25,1.11578,1.11625,1.1117,1.11368
1537,2019-04-24,1.12219,1.12245,1.1139,1.11577
1538,2019-04-23,1.126,1.12613,1.1191,1.12216
1539,2019-04-22,1.12421,1.1262,1.1234,1.12597
1540,2019-04-19,1.12365,1.1248,1.123,1.12449
1541,2019-04-18,1.12983,1.13041,1.1224,1.12365
1542,2019-04-17,1.12814,1.13237,1.1279,1.12983
1543,2019-04-16,1.13021,1.1314,1.1277,1.128
1544,2019-04-15,1.13046,1.1321,1.1297,1.13021
1545,2019-04-12,1.1258,1.13239,1.1256,1.12984
1546,2019-04-11,1.1276,1.12875,1.1248,1.1258
1547,2019-04-10,1.12663,1.12877,1.1228,1.1275
1548,2019-04-09,1.12565,1.12843,1.1254,1.12663
1549,2019-04-08,1.12185,1.12746,1.1213,1.12562
1550,2019-04-05,1.12215,1.12474,1.1209,1.1212
1551,2019-04-04,1.12418,1.12477,1.1205,1.12215
1552,2019-04-03,1.12044,1.12547,1.12,1.12418
1553,2019-04-02,1.12063,1.1216,1.1182,1.12041
1554,2019-04-01,1.12218,1.125,1.1197,1.12061
1555,2019-03-29,1.12283,1.1247,1.1208,1.1217
1556,2019-03-28,1.12493,1.12613,1.1212,1.12281
1557,2019-03-27,1.12755,1.12856,1.1241,1.12493
1558,2019-03-26,1.13144,1.1326,1.1261,1.12752
1559,2019-03-25,1.12954,1.13316,1.1288,1.13144
1560,2019-03-22,1.13766,1.13907,1.1272,1.13
1561,2019-03-21,1.14212,1.14374,1.1341,1.1375
1562,2019-03-20,1.13535,1.14482,1.1334,1.14202
1563,2019-03-19,1.13351,1.13617,1.1332,1.13534
1564,2019-03-18,1.13264,1.1359,1.1317,1.13344
1565,2019-03-15,1.13059,1.13444,1.1299,1.1324
1566,2019-03-14,1.13372,1.1338,1.1293,1.13056
1567,2019-03-13,1.12897,1.13386,1.1276,1.13372
1568,2019-03-12,1.12633,1.13049,1.1248,1.12894
1569,2019-03-11,1.12342,1.12738,1.122,1.1263
1570,2019-03-08,1.11911,1.12462,1.1184,1.12347
1571,2019-03-07,1.13079,1.13202,1.1175,1.11909
1572,2019-03-06,1.1299,1.13246,1.1284,1.1308
1573,2019-03-05,1.13354,1.1339,1.1288,1.12988
1574,2019-03-04,1.1377,1.13815,1.1308,1.13355
1575,2019-03-01,1.13709,1.14087,1.135,1.1362
1576,2019-02-28,1.1372,1.14197,1.1357,1.13709
1577,2019-02-27,1.13928,1.14036,1.1361,1.1372
1578,2019-02-26,1.13593,1.14028,1.1344,1.13928
1579,2019-02-25,1.1336,1.13676,1.1333,1.13593
1580,2019-02-22,1.13361,1.13557,1.1315,1.13344
1581,2019-02-21,1.13452,1.13664,1.1319,1.1336
1582,2019-02-20,1.13385,1.13713,1.1324,1.13448
1583,2019-02-19,1.13097,1.13576,1.1274,1.13388
1584,2019-02-18,1.12907,1.1334,1.1288,1.13096
1585,2019-02-15,1.12942,1.13062,1.1233,1.1294
1586,2019-02-14,1.12565,1.131,1.1248,1.12945
1587,2019-02-13,1.13288,1.13416,1.1247,1.12561
1588,2019-02-12,1.12767,1.13397,1.1256,1.13292
1589,2019-02-11,1.13181,1.133,1.1265,1.1277
1590,2019-02-08,1.13419,1.13509,1.1317,1.1321
1591,2019-02-07,1.13665,1.13685,1.1323,1.13419
1592,2019-02-06,1.14046,1.14095,1.1359,1.13676
1593,2019-02-05,1.14347,1.14405,1.14,1.1404
1594,2019-02-04,1.14555,1.14604,1.1422,1.14349
1595,2019-02-01,1.14459,1.14885,1.1433,1.14537
1596,2019-01-31,1.14802,1.15143,1.1434,1.14459
1597,2019-01-30,1.14347,1.15017,1.1405,1.148
1598,2019-01-29,1.14273,1.14502,1.141,1.1434
1599,2019-01-28,1.14086,1.14437,1.1389,1.14273
1600,2019-01-25,1.13014,1.14176,1.13,1.1405
1601,2019-01-24,1.13797,1.13914,1.1288,1.13013
1602,2019-01-23,1.13626,1.13944,1.1349,1.13797
1603,2019-01-22,1.13697,1.1374,1.1335,1.13626
1604,2019-01-21,1.13653,1.13911,1.1355,1.13696
1605,2019-01-18,1.13875,1.14104,1.1352,1.136
1606,2019-01-17,1.13951,1.1407,1.1369,1.13873
1607,2019-01-16,1.14058,1.14248,1.1376,1.13946
1608,2019-01-15,1.14664,1.14897,1.138,1.14057
1609,2019-01-14,1.14646,1.14821,1.1449,1.14659
1610,2019-01-11,1.14972,1.15406,1.1456,1.1464
1611,2019-01-10,1.15485,1.15698,1.1483,1.14972
1612,2019-01-09,1.14404,1.15581,1.1437,1.15482
1613,2019-01-08,1.14755,1.14846,1.1421,1.14404
1614,2019-01-07,1.14046,1.14826,1.1402,1.14751
1615,2019-01-04,1.13932,1.14191,1.1344,1.13942
1616,2019-01-03,1.1333,1.1411,1.1308,1.13932
1617,2019-01-02,1.14606,1.14968,1.13105,1.13369
1618,2019-01-01,1.1465,1.1545,1.1446,1.14609
1619,2018-12-31,1.14392,1.14674,1.142,1.1466
1620,2018-12-28,1.14291,1.14728,1.1426,1.14415
1621,2018-12-27,1.13552,1.14542,1.1354,1.14291
1622,2018-12-26,1.14107,1.142,1.1341,1.13552
1623,2018-12-25,1.14014,1.14176,1.13645,1.14063
1624,2018-12-24,1.13683,1.14386,1.1364,1.14
1625,2018-12-21,1.14487,1.1474,1.1354,1.1367
1626,2018-12-20,1.13798,1.14859,1.1375,1.14482
1627,2018-12-19,1.13696,1.14393,1.13639,1.13798
1628,2018-12-18,1.13469,1.14023,1.1335,1.137
1629,2018-12-17,1.13055,1.13577,1.1302,1.13472
1630,2018-12-14,1.13568,1.1365,1.1268,1.1307
1631,2018-12-13,1.1372,1.13933,1.133,1.13565
1632,2018-12-12,1.13192,1.13873,1.1314,1.13708
1633,2018-12-11,1.13501,1.14004,1.1305,1.13194
1634,2018-12-10,1.13979,1.14427,1.1348,1.135
1635,2018-12-07,1.13768,1.14237,1.1359,1.13892
1636,2018-12-06,1.13478,1.14126,1.132,1.13769
1637,2018-12-05,1.13404,1.13613,1.13099,1.13472
