Date,Adjusted Close,EMA,Open,High,Low,Close,Effective_Fed_Rate,MACD,MACD_Signal,MACD_Hist,RSI,SMA
2019-04-29,122.578602754038,118.7827,1.11505,1.11869,1.1143,1.1184,2.45,3.1705,2.4832,0.6873,85.5946,117.901
2019-04-26,122.691952775849,117.9119,1.11372,1.1174,1.1109,1.1149,2.44,2.9603,2.3114,0.6489,85.313,117.0263
2019-04-25,121.992960974678,116.8895,1.11578,1.11625,1.1117,1.11368,2.44,2.6683,2.1492,0.5191,88.1026,116.1611
2019-04-24,118.08238522218,115.5644,1.12219,1.12245,1.1139,1.11577,2.44,2.2221,2.0194,0.2027,81.7229,115.1882
2019-04-23,118.488556133671,114.8412,1.126,1.12613,1.1191,1.12216,2.44,2.0309,1.9687,0.0622,77.4076,114.5119
2019-04-22,116.901655828309,114.3119,1.12421,1.1262,1.1234,1.12597,2.44,1.92,1.9531,-0.0332,72.2421,114.1066
2019-04-18,116.533268257422,113.9757,1.12983,1.13041,1.1224,1.12365,2.43,1.8927,1.9614,-0.0687,70.477,113.8015
2019-04-17,115.021934633268,113.655,1.12814,1.13237,1.1279,1.12983,2.42,1.8718,1.9786,-0.1068,66.204,113.6041
2019-04-16,114.077351118172,113.4625,1.13021,1.1314,1.1277,1.128,2.41,1.9092,2.0053,-0.0961,70.0458,113.4738
2019-04-15,114.341834502398,113.1433,1.13046,1.1321,1.1297,1.13021,2.41,1.8907,2.0294,-0.1387,67.0327,113.2301
2019-04-12,114.247376150889,112.9,1.1258,1.13239,1.1256,1.12984,2.41,1.9069,2.064,-0.1571,65.7019,113.0421
2019-04-11,113.661734371529,112.6657,1.1276,1.12875,1.1248,1.1258,2.41,1.9287,2.1033,-0.1746,65.2815,112.7993
2019-04-10,113.529492679416,112.4003,1.12663,1.12877,1.1228,1.1275,2.41,1.9381,2.1469,-0.2088,62.0126,112.5065
2019-04-09,112.669921680678,112.2396,1.12565,1.12843,1.1254,1.12663,2.41,1.997,2.1992,-0.2022,56.6966,112.3289
2019-04-08,113.283900965491,112.2804,1.12185,1.12746,1.1213,1.12562,2.41,2.1517,2.2497,-0.098,65.2826,112.328
2019-04-05,113.246117624887,112.0826,1.12215,1.12474,1.1209,1.1212,2.41,2.2044,2.2742,-0.0698,63.5125,112.021
2019-04-04,112.745488361886,111.929,1.12418,1.12477,1.1205,1.12215,2.41,2.28,2.2916,-0.0117,68.8535,112.0314
2019-04-03,113.321684306095,111.5922,1.12044,1.12547,1.12,1.12418,2.41,2.275,2.2946,-0.0195,68.0357,111.7518
2019-04-02,112.584909164319,111.231,1.12063,1.1216,1.1182,1.12041,2.41,2.2587,2.2994,-0.0408,65.3028,111.5185
2019-04-01,112.424329966753,110.9574,1.12218,1.125,1.1197,1.12061,2.41,2.2819,2.3096,-0.0277,64.9318,111.4268
2019-03-29,111.404179770449,110.6461,1.12283,1.1247,1.1208,1.1217,2.43,2.289,2.3166,-0.0276,62.0065,111.1643
