Date,AMZN_Adjusted Close,AMZN_EMA,AMZN_Open,AMZN_High,AMZN_Low,AMZN_Close,AMZN_Effective_Fed_Rate,AMZN_MACD,AMZN_MACD_Signal,AMZN_MACD_Hist,AMZN_RSI,AMZN_SMA,AAPL_Adjusted Close,AAPL_EMA,AAPL_Open,AAPL_High,AAPL_Low,AAPL_Close,AAPL_Effective_Fed_Rate,AAPL_MACD,AAPL_MACD_Signal,AAPL_MACD_Hist,AAPL_RSI,AAPL_SMA,MSFT_Adjusted Close,MSFT_EMA,MSFT_Open,MSFT_High,MSFT_Low,MSFT_Close,MSFT_Effective_Fed_Rate,MSFT_MACD,MSFT_MACD_Signal,MSFT_MACD_Hist,MSFT_RSI,MSFT_SMA
2022-09-07,129.48,130.2772,0.99044,1.00109,0.9873,1.00079,2.33,-0.7164,1.1809,-1.8974,36.7619,130.47,153.916383313054,158.5665,0.99044,1.00109,0.9873,1.00079,2.33,-0.5764,1.6851,-2.2615,33.1861,159.6734,252.72090982786,259.4592,0.99044,1.00109,0.9873,1.00079,2.33,-4.2556,-0.7763,-3.4794,26.5061,260.5834
2022-09-06,126.11,131.201,0.99284,0.99864,0.9862,0.9904,2.33,-0.2855,1.6553,-1.9408,39.7048,131.199,152.505121270622,159.8488,0.99284,0.99864,0.9862,0.9904,2.33,0.0371,2.2505,-2.2134,35.5326,160.8829,247.981597171163,261.6943,0.99284,0.99864,0.9862,0.9904,2.33,-3.4116,0.0936,-3.5052,27.6643,262.7121
2022-09-02,127.51,131.9302,0.99444,1.0034,0.9941,0.995,2.33,0.0855,2.1405,-2.055,42.3853,131.979,153.768348833079,161.0552,0.99444,1.0034,0.9941,0.995,2.33,0.6543,2.8038,-2.1495,40.6964,162.1876,250.733140263171,264.0996,0.99444,1.0034,0.9941,0.995,2.33,-2.4342,0.9699,-3.4041,32.3209,265.2463
2022-09-01,127.82,132.4702,1.00507,1.00543,0.991,0.9943,2.33,0.3968,2.6542,-2.2574,33.4246,133.076,155.890176379392,161.8105,1.00507,1.00543,0.991,0.9943,2.33,1.103,3.3412,-2.2382,32.3008,163.4982,254.982854504919,265.8438,1.00507,1.00543,0.991,0.9943,2.33,-1.6992,1.8209,-3.5201,26.6047,267.9102
2022-08-31,126.77,133.908,1.00155,1.0079,0.997,1.00501,2.33,1.1448,3.2186,-2.0738,38.7746,134.608,155.159872944847,163.4156,1.00155,1.0079,0.997,1.00501,2.33,1.9722,3.9008,-1.9286,38.0076,165.1867,256.030595112908,268.5902,1.00155,1.0079,0.997,1.00501,2.33,-0.4546,2.7009,-3.1556,32.2652,270.977
2022-08-30,128.73,134.8987,0.99993,1.00549,0.998,1.00155,2.33,1.7315,3.7371,-2.0055,41.9256,135.932,156.827728085903,164.5736,0.99993,1.00549,0.998,1.00155,2.33,2.6845,4.3829,-1.6984,41.2758,166.4169,257.499390357752,270.5283,0.99993,1.00549,0.998,1.00155,2.33,0.4904,3.4898,-2.9994,33.5256,273.3613
2022-08-29,129.79,135.7095,0.99556,1.00292,0.9912,0.99979,2.33,2.272,4.2384,-1.9664,38.5551,137.1975,159.265362522831,165.5887,0.99556,1.00292,0.9912,0.99979,2.33,3.3714,4.8075,-1.4361,38.7161,167.468,259.712375193317,272.6185,0.99556,1.00292,0.9912,0.99979,2.33,1.5619,4.2397,-2.6778,31.994,275.7799
2022-08-26,130.75,137.0005,0.99758,1.009,0.9945,0.9961,2.33,3.0662,4.7301,-1.6638,51.9124,138.4875,161.476010757129,167.0454,0.99758,1.009,0.9945,0.9961,2.33,4.298,5.1665,-0.8686,61.9836,168.4919,262.51287812682,275.3516,0.99758,1.009,0.9945,0.9961,2.33,2.9886,4.9091,-1.9206,48.0794,278.1821
2022-08-25,137.28,137.1006,0.99669,1.00334,0.9947,0.99763,2.33,3.3583,5.146,-1.7877,48.8166,139.0375,167.802017534743,166.7589,0.99669,1.00334,0.9947,0.99763,2.33,4.4711,5.3837,-0.9126,57.6313,168.4178,273.049036016501,275.8132,0.99669,1.00334,0.9947,0.99763,2.33,3.447,5.3892,-1.9423,44.774,279.0425
2022-08-24,133.8,137.5096,0.99684,0.99993,0.9908,0.99677,2.33,3.8135,5.5929,-1.7794,42.313,139.8975,165.334776201821,166.8012,0.99684,0.99993,0.9908,0.99677,2.33,4.8068,5.6118,-0.805,53.7439,168.5442,270.052693717019,276.7582,0.99684,0.99993,0.9908,0.99677,2.33,4.1564,5.8748,-1.7184,41.0694,280.3059
2022-08-23,133.62,138.5673,0.9942,1.00183,0.9899,0.9968,2.33,4.5947,6.0378,-1.4431,43.6248,140.9125,165.03870724187,167.1732,0.9942,1.00183,0.9899,0.9968,2.33,5.3122,5.8131,-0.5009,53.1074,168.5797,270.689171656451,278.331,0.9942,1.00183,0.9899,0.9968,2.33,5.1929,6.3044,-1.1115,42.444,281.4954
2022-08-22,133.22,139.7134,1.00385,1.00466,0.9924,0.99424,2.33,5.4577,6.3986,-0.9408,48.3462,141.3767,165.374252063147,167.6804,1.00385,1.00466,0.9924,0.99424,2.33,5.904,5.9383,-0.0343,61.3735,168.2777,271.971919503615,280.0292,1.00385,1.00466,0.9924,0.99424,2.33,6.3376,6.5823,-0.2447,50.8282,281.7506
2022-08-19,138.23,140.6008,1.00881,1.00955,1.003,1.0034,2.33,6.2447,6.6338,-0.3891,60.4545,142.0097,169.272493369165,167.7279,1.00881,1.00955,1.003,1.0034,2.33,6.3113,5.9469,0.3643,74.7787,167.9501,280.197172874742,280.8775,1.00881,1.00955,1.003,1.0034,2.33,7.1442,6.6435,0.5007,64.7472,281.8845
